#,INCIDENT TITLE,INCIDENT DATE,LOCATION,DESCRIPTION,LATITUDE,LONGITUDE,APPROVED,VERIFIED,CATEGORY,CATEGORY_DESC
146,Sherrie Fausey,1/14/10 12:44,"31 delmas, port-au-prince, haiti","@troylivesay  We were not able to reach anyone on Delmas 31, including Sherrie Fausey - still don't know anything about her but the area is severely dmgd.",18.56132,-72.30094,1,0,6b,Missing Persons
71,Looking for Carlie Vatelia,1/13/10 9:15,"32 Impass Albin, Pelerin 5 · Port-Aux-Prince, Haiti",I need help finding information on Carlie Vatelia @ Pelerin,18.49652,-72.300543,1,0,6,Persons News
143,Jean Claude Elysee,1/14/10 12:39,"33 delmas, port-au-prince, haiti","@hazelandsweet: Daphney, im looking for my father Jean Claude elysee from Delmas 33 if anybody knows anything please call 9738666340",18.559445,-72.295671,1,0,6b,Missing Persons
109,Secours!! HELP!!,1/14/10 8:45,"34  RUE A FRANCOIS #34, Waney/Carrefour, HAITI","Mon nom est HUGSON JEAN - Je vis actuellement à Boston, MA 02131. Mon père est âgé de 77 ans, a visité des Etats-Unis le mois dernier, et s'a retourné en HAÏTI Le 16 Décembre 2009. ma famille et moi avons parlé avec lui à la veille du tremblement de terre, et nous pouvons pas maintenant entrer en contact avec lui, et on demande si quelqu'un peuve nous dire qu'il est OK, et nous donner aussi la condition ou position de la zone entourante. 
Merci!
My name is HUGSON JEAN -- I am currently living in Boston, MA 02131.  My father is 77 years of age, has visited USA last month, and has gone back to HAITI on 16th of December, 2009. my family and I have spoken with him on the eve of the EARTHQUAKE, and we now can't get in touch with him, and wonder if anyone can tell us that he's OK.  And also, give us the status of the surrounding area there.",18.531375,-72.413979,1,0,4,Response
125,MISSING PERSON: Jean Francois,1/14/10 1:33,"34 RUE A FRANCOIS # 34, WANEY 93/CARREFOUR","My name is HUGSON JEAN -- I am currently living in Boston, MA 02131. My father is 77 years of age, has visited USA last month, and has gone back to HAITI on 16th of December, 2009. my family and I have spoken with him on the eve of the EARTHQUAKE, and we now can't get in touch with him, and wonder if anyone can tell us that he's OK. And also, give us the status of the surrounding area as to how badly that has been effected. contact: 617-304-1187
HJean@everyonerealty.com",18.5317,-72.408657,1,0,6,Persons News
165,Frantz Charlot,1/14/10 1:48,"58 Rue Darguin, Petion-Ville, Haiti",@YuruInspires: looking for Frantz Charlot of fdplus 58 Rue Darguin in Petion-Ville,18.513575,-72.288681,1,0,6b,Missing Persons
252,TRAPPED,1/14/10 6:10,"64 Rue Nord, port au prince, haiti",Christopher Frecynet still alive under his home. They heard him screaming. 64 Rue Nord Alexis. Call cousin Daphney 509-39046983,18.539269,-72.336408,1,0,1,Emergency
209,Person Trapped - 66 Rue St. Gerard,1/14/10 3:44,66 Rue St. Gerard (west entrance of St. Gerard Church),Aunt Moumoun can be heard under the rubble of her home. Anyone near Carrefour Feulle in Port-au-Prince please send help to 66 Rue St. Gerard (west entrance of St. Gerard Church).,18.527235,-72.338513,1,0,1,Emergency
269,Lochard fanmi is trapped at 66 Rue St. Girard,1/14/10 9:30,"66 Rue St. Girard, Carrefour Feuille","In Carrefour Feuille.  Several People still in, Carlo and Veda Lochare came out",18.530439,-72.337289,1,0,1,Emergency
263,Person trapped,1/14/10 8:55,"66 Rue St. Girard, port au prince, haiti",Fanmi Lochard is trapped inside.  Any help to Carrefour Feuille please,18.539269,-72.336408,1,0,1,Emergency
218,Auberge du Quebec,1/14/10 3:58,"67 Thor Ave, Port-au-Prince, Haiti","The Auberge du Québec in Carrefour, located on a hillside southwest of Port-au-Prince, suffered little damage, has food and is operating on a generator – a luxury virtually non-existent in the quake affaected zone. The grounds of the hotel are now filled with people unable or afraid to return to their homes.",18.539269,-72.336408,1,0,4c,Shelter
332,Centre Technique De St Gerard--1000 Students trapped in school,1/15/10 11:02,70 rue st. Regard carrefourfeuille-Centre Technique De St Gerar,1000 Students trapped in a school at 70 rue st. regard carrefourfeuille-centre technique de st. gerard,18.529598,-72.408061,1,0,1c,People trapped
159,OK: Cadet Family,1/14/10 1:31,"72 Delmas, port-au-prince",Deborah Innocent says - Cadet Family from Delma 72 are ok,18.537153,-72.29439,1,0,6,Persons News
231,Missing Family - Carrefour,1/14/10 2:00,"885 BIS, RUELLE SAPOTILLE CARREFOUR","Mervil Family 885 BIS, RUELLE SAPOTILLE CARREFOUR
Wilson,Edeline,Sadrac &amp; 2 children",18.543744,-72.408485,1,0,6b,Missing Persons
185,Large List of People - see description,1/14/10 2:26,"Augsta Trevil, Rue Duvivier (Airport Mais Gate), Port-au-Prince","The following is a list of immediate relatives of my mother, Ketlie Camille (Neé Marie Ketlie Joseph) who lives in Nashua, NH USA. All of these relatives live within Port-Au-Prince. We are releasing this list in hopes that someone with access to a phone or internet in Haiti will see this and be willing to check in with our families on our behalf and pass along the message that we are trying to get in touch with them. We would greatly appreciate this. We can be reached via contact info above virtually 24-hours a day. My parents Nicholson &amp; Ketlie Camille of Nashua, NH USA can be reached at +011 603 891 0517 God Bless, Rony Camille ### Augusta Trevil -- My Great-Aunt (the matriarch) lives at the following address Route Nationale No.1 Rue Hubert #61 Maïs Gate (Junction of Carrfour Vecent) This area is near the Toussaint L’Ouverture International Airport ALL LIVE WITHIN THE VINCITY OF AUGSTA TREVIL (ALL ARE NEIGHBORS) EACH OTHER on RUE DUVIVIER)
• Sobnert Beauvais • Elna dorelus • Ginette Gaston rt nationale#1#64 • Johny Gaston • Lucresse gaston • Darline Gaston (In Pietion Ville) • Jiji Gaston • Frantzdy gaston • Stewart Gaston • widmark gaston • Jean herve charles • guy charles • Patrick Charles • Arthur Charles • Nicdem Sidney • jean Hubert Sidney • Danis Sidney • Wilson sidney • Anna Sidney • Roselaine Sidney • Gipson Sidney • Patrick Figaro • Darline Joseph • Silia Joseph • Emilia Joseph • Jilou Joseph • Johane Joseph • Gardy Joseph • Raymond Joseph • Olson Charles • Wesley (Pasteur) Joseph",18.579721,-72.292778,1,0,6b,Missing Persons
6,Eye-Witness Report from Hotel Oloffson,1/12/10 11:16,"Ave Christophe #60, Port au Prince, Haiti","Tequila Minsky, a New York-based photographer who is staying at the Hotel Oloffson in Port-au-Prince — which was the model for the Haitian hotel in Graham Greene’s novel “The Comedians” — told my colleague Patrick Witty, a photo editor on the New York Times foreign desk, what she saw immediately after the earthquake. She had arrived at the hotel just two hours before the quake struck, shaking the walls of her room shook and knocking things off it.
She immediately went out and started taking pictures on the surrounding streets. The wall at the front of the hotel had fallen down and killed someone. A number of nearby buildings had collapsed, trapping people. A woman was crying and saying, “My uncle, my uncle.” A bank building was very badly damaged in the Rue Capois which runs along the side of the hotel. People were screaming. “It was general mayhem,” she said.
By 6:30, she said, it was dark and fires were burning downtown, near the shoreline.",18.538328,-72.333067,1,0,1a,Collapsed structure
350,Large church collapsed,1/15/10 1:23,"Bainet, Haiti",The large church in Bainet has collapsed. Our 2 buildings have some damage... we are not sure to what extent. Near Hope for Haiti buildings in Bainet.,18.185522,-72.755525,1,0,1a,Collapsed structure
220,les oblats,1/14/10 4:13,"bois patate,port-au-prince","la maison des oblats a bois patate,port-au-prince haiti.lucette dieudonne. no sing from her",18.5317,-72.259827,1,0,4,Response
153,"Functioning Hospital in Bois Verna, PAP (L'Hopital Sacre Coeur)",1/14/10 1:15,"bois verna port au prince, haiti",Hospital is overpacked but functioning,18.537191,-72.330373,1,0,4a,Health services
76,Looking for Hernst Marcelin (age 5) and Nalexia Marcelin (20 months),1/13/10 10:33,"Bon-repos, haiti","my son Hernst Marcelin who is 5 and my daughther Nalexia Marcelin 20 months us citizen are in Haiti with grandmother who live at 3 lilavois 12 bon-repos, Port-au prince Haiti. I dont hear nothin from them and i am desperate. i want to keep in touch with an organisation who can help me.i am dying.in the zone, you just have to ask for madame Ernst and people will give you the exact location because my mother have 18 years living that zone.",18.633333,-72.266667,1,0,1,Emergency
48,"Border road down, Looting stared in P-au-P",1/13/10 3:03,"border crossing, airport Port-au-Prince","I received this report at 6 pm EST, from relatives now in Petiion Ville, Haiti, relayed by phone to my cousin Clive d'Adesky in Miami. 
FROM WHAT WE HAVE LEARNED THE BORDER ROAD HAS BRIDGES DOWN AND THE ROAD HAS CAVED IN, IN MANY PLACES. 
THE PORT IS DOWN CAN’T RECEIVE ANY VESSELS, AS OF NOW.    AIRPORT MAY REOPEN NEXT 24 – 48 HOURS.
 
FOR THE NEXT 5-7 DAYS, ONLY WAY IN IS VIA HELICOPTER. ANY PLANES COMING LIKELY ONLY  MILITARY AS IT WOULD BE SIGHT ONLY LANDING..
 
LOOTING AND SHOOTING IN TOWN HAS ALREADY STARTED, THE JAILS CAME DOWN SO ALL THE PRISONERS ARE OUT ON THE STREET... A WAR ZONE.  
OUR RELATIVE's FATHER IN LAW GOT 8 BULLETS TO HIS CAR TRYING TO GO DOWN TOWN.  THEY HAD TO TURN AROUND, LUCKILY ONLY ONE PERSON IN THE CAR GOT BRAISED BY A BULLET IN THE HEAD.
 
THERE ARE BODIES ALL OVER, THAT WILL BECOME A BIG PROBLEM IN DAYS TO COME, THAT MUST BE DEALT WITH AS A PRIORITY AS WELL.",18.521283,-72.372437,1,0,1,Emergency
204,Less than 10 persons pulled from UNHQ,1/14/10 3:18,"Bourdon, Haiti","RT @cat_laine: Less than 10 persons have been pulled out of the collapsed Hotel Christopher, MINUSTAH headquarters. :( (via UN udpate)",18.54085,-72.316313,1,0,1a,Collapsed structure
287,Trapped person at UNIBANK BOURDON,1/14/10 10:08,"bourdon, haiti","Rescue team needed at UNIBANK BOURDON. Christine LeGagneur alive, stuck in rubble.Her ph#s 3558-1388; 3733-7213.",18.54085,-72.316313,1,0,1c,People trapped
294,missing person Franck FKZRVERBAK,1/15/10 9:50,"Bourdon, Haiti","He was in the minustah building during the earthquake, we still have no news 
any informations could help please contact: p.morgando@wanadoo.fr",18.54085,-72.316313,1,0,4b,USAR Search and Rescue
135,Oxfam HQ collapse,1/14/10 11:28,"Bourdon, port au prince, haiti","Oxfam HQ collapsed during aftershock, supply warehouse used in previous relief seems in tact.",18.54085,-72.316313,1,0,1a,Collapsed structure
315,Canadian Embassy standing,1/15/10 9:54,"Canadian Embassy, PaP, between Delmas 75 and 71","just passed the Canadian embassy. Standing, looks good. Big line out front",18.537153,-72.29439,1,0,4c,Shelter
382,The Magnitude of Disaster,1/15/10 3:10,"Canape Vert, Haiti","Rows of homes destroyed, area is currently inaccessible in Canape Vert, Pacot, Bourdon.",18.535911,-72.317053,1,1,1a,Collapsed structure
353,PIH Zanmi Lasante Sociomedical Complex outside PaP accepting patients,1/15/10 1:36,"Cange, Haiti","Cange, where PIH operates Zanmi Lasante Sociomedical Complex, a 104-bed full-service hospital. The facility has two operating rooms, adult and pediatric inpatient wards, a laboratory, a pharmaceutical warehouse, a blood bank, and radiographic services.",18.934498,-71.994962,1,0,4a,Health services
229,Zanmi Lasante Buildings are OK,1/14/10 4:39,"Cange, Haiti","All personnel safe, buildings shaken but OK",18.934498,-71.994962,1,0,4a,Health services
320,Hospitals active,1/15/10 10:35,Cap Haitien,"Hosp.Justinia in CapHaitien,the main hosp. in Milot r ready n equipped 2 received patients with doctors from Johns Hopkins",19.762423,-72.205496,1,0,4a,Health services
334,Hospital Justinien in Cap-Haitien,1/15/10 11:32,Cap Haitien--Hospital Justinien,Hospital Justinien in Cap-Haitien and hospital in nearby Milot are equipped and ready to receive patients evacuated from PAP,19.762423,-72.205496,1,0,4a,Health services
388,SEAPORT update,1/15/10 3:27,"Cap Haitien, Haiti",Cap Haitien port is operational - currently containerized cargo only.  Unconfirmed reports say that only one privately owned shore crane is available.  Any vessel going in needs to be self-geared.,19.75622,-72.199669,1,1,3,Vital Lines
207,Cap Hatien Port is Open,1/14/10 3:38,"Cap Hatien, Haiti","shipping operations in Cap Haitien, a port on the far north side of the island five hours by road from Port-au-Prince, were not damaged; Cap Haitien was likely to become the primary port accepting relief supplies",19.75622,-72.199669,1,0,3,Vital Lines
354,University Hospital Justinian (UHJ) in Cap-Haitien receiving patients via MINUSTA helevac,1/15/10 1:39,Cap-Haïtien,"University Hospital Justinian (UHJ) in Cap-Haitien, on Haiti's north coast, reported today that they expected to receive trauma cases airlifted from Port-au-Prince by MINUSTAH helicopter. UHJ is the second-largest hospital in Haiti and is one of the three partner facilities in Haiti that receives Direct Relief's pre-positioned emergency modules as well as ongoing support.",19.757778,-72.204167,1,0,4a,Health services
94,Carrefour Slum has 90%+ of buildings in ruins,1/13/10 12:54,Carrefour,From Louis at Oxfam,18.544721,-72.40591,1,0,1a,Collapsed structure
328,Many families in Carrefour gathered at soccer field,1/15/10 11:08,Carrefour,"Since most houses are destroyed, many families have gathered at soccer field (here?)",18.535851,-72.407284,1,0,4c,Shelter
381,Missing - Miriam Andreice - 34 yrs,1/15/10 4:12,CARREFOUR,Please contact Myrtil Gesner at 556 9061 or send message by email to rosalieduchene@yahoo.com,18.528486,-72.412133,0,0,6b,Missing Persons
119,"MISSING PERSONS: Breanne Mode, Germain Louis-Edmond",1/14/10 9:54,Carrefour Moussignac,"Helping my father locate family members still in Haiti. If you have any information, please contact me.
Thank you.",18.383333,-73.1,1,0,6,Persons News
78,"Looking for Patrick Laguerre, wife and children",1/13/10 9:19,"Carrefour, Haiti","trying to locate...
~~~~~~~~~~~~~~~~~~~~~~~~~
Sender: Bonnie Joy Kaslan
Message:
Marie Chantal Borno is looking for her brother Patrick Laguerre, his wife and four children, Carrefour area, Mon Repos.  Thank you for posting this.",18.529598,-72.408061,1,0,6,Persons News
137,Looking for: Opont Family,1/14/10 11:16,"carrefour, Haiti","Samuel&amp;Carol (Mari et femme)
Stanley, Samerole, Glafira, Glamanine, Feler (enfants)
Alegria et Arnie (petits enfants)
there phone # 36257264 36011952 38350343",18.516888,-72.400546,1,0,6,Persons News
236,"Mother of Charles Darvey of NY, US citizen trapped in Carrefour",1/14/10 5:41,"Carrefour, Port-au-Prince","US citizen and mother of Charles Darvey of NY is trapped under the ruins of her home at 300 Avenue Mavramboise (?), P-a-P, Carrefour. (Spelling of address/street uncertain)
I heard of this incident today when Charles called in from NYC to the Brian Lehrer show on WYNC. He has exhausted all avenues of communication trying to reach someone on the ground who can reach his mother and is desperately seeking someone to free her from the ruins of her home. 
She called him indicating she is trapped and in need of rescue and water.",18.545963,-72.36959,1,0,1,Emergency
284,My sisters and brother,1/14/10 10:28,"Carrefour, Port-AU-Prince","At shnaydine@yahoo.com: I am looking for my brother Wislie Jacinthe and sister Lucienne Pierre reside in Carrefour, my sister Jasmine Yacinthe reside in Delma. Please call 863-353-8097 with any news. thank you",18.535607,-72.324371,1,0,6b,Missing Persons
131,looking for family/ chercher la famille,1/14/10 10:56,"Carrefour, Tabarre, Delmas, Petionville","Myrtho Douzable (Pellerin?)
Alix Douzable (Petionville)
Eunide Douzable (Delmas)
Guerline Douzable (Delmas)
Their names and locations, PLEASE let us know!
Leurs noms et leur emplacement. S'il vous plaît nous permettre de savoir!",18.516075,-72.274933,1,0,6,Persons News
132,looking for family/ chercher la famille,1/14/10 11:08,"Carrefour, Tabarre, Delmas, Petionville","Leone Oriol (Carrefour)
Magloire Oriol (Tabarre)
Their names and locations, PLEASE let us know!
Leurs noms et leur emplacement. S'il vous plaît nous permettre de savoir!",18.500447,-72.430115,1,0,6,Persons News
249,Citizens looting food from Carribean Supermarket,1/14/10 5:01,Carribean Supermarket,Residents loot food from the destroyed Caribbean supermarket in downtown Port-au-Prince,18.521765,-72.283653,1,0,2b,Looting
273,High school in Petite Place Collapses,1/14/10 9:29,"Cazeau, Port-au-Prince, Haiti","Weedner Normeus reports, &quot;just heard on the radio online that the lycee [high school] in PP [Petit Place] Cazeau colapsed with all the students inside&quot;",18.587818,-72.268947,1,0,1a,Collapsed structure
414,Refugee Camp,1/15/10 5:42,"Champ de Marts, Port-au-Prince, Haiti","refugee camp in Champ de Mars, PP",18.542076,-72.336473,1,0,4c,Shelter
316,Water distribution &amp;  burning bodies in Champmars,1/15/10 9:41,"Champmars, haiti",One firetruck is doing water distribution on ChampMars.Bodies are being burned.,18.543795,-72.344748,1,0,1b,Fire
16,"Magnitude 7.0, 2010 January 12 21:53:09 UTC",1/12/10 4:53,Chauflard,"Location: 18.451°N, 72.445°W
Depth: 10 km (6.2 miles) set by location program
The January 12, 2010, Haiti earthquake occurred in the boundary region separating the Caribbean plate and the North America plate. This plate boundary is dominated by left-lateral strike slip motion and compression, and accommodates about 20 mm/y slip, with the Caribbean plate moving eastward with respect to the North America plate.
Haiti occupies the western part of the island of Hispaniola, one of the Greater Antilles islands, situated between Puerto Rico and Cuba. At the longitude of the January 12 earthquake, motion between the Caribbean and North American plates is partitioned between two major east-west trending, strike-slip fault systems -- the Septentrional fault system in northern Haiti and the Enriquillo-Plaintain Garden fault system in southern Haiti.
The location and focal mechanism of the earthquake are consistent with the event having occurred as left-lateral strike slip faulting on the Enriquillo-Plaintain Garden fault system. This fault system accommodates about 7 mm/y, nearly half the overall motion between the Caribbean plate and North America plate.
The Enriquillo-Plaintain Garden fault system has not produced a major earthquake in recent decades. The EPGFZ is the likely source of historical large earthquakes in 1860, 1770, 1761, 1751, 1684, 1673, and 1618, though none of these has been confirmed in the field as associated with this fault.",18.465589,-72.412499,1,0,1e,Earthquake and aftershocks
212,Need Help with Crowd Control,1/14/10 3:46,christ-roi rue mayard at the base,getting people out of the hospital,18.54085,-72.316313,1,0,1,Emergency
255,Becky DeWine School Damaged in Cite Soleil,1/14/10 1:29,Cite Soleil,Becky DeWine School in the Port-au-Prince slum known as Cite Soleil have been damaged but not demolished,18.578491,-72.335553,1,0,2a,Structures at risk
280,MSF operating theatre in Cite Soleil,1/14/10 8:10,Cite Soleil,"An MSF team is beginning to work in the operating theater of a major public hospital in the capital’s Cite Soleil district, 1,000 patients have received care in the four tented facilities MSF set up near the damaged buildings.",18.578491,-72.335553,1,0,4,Response
326,Functioning Hospital in Cite Soleil WITH WATER,1/15/10 11:02,cite soleil hospital,water is being trucked to functioning hospital in Cite Soleil,18.578491,-72.335553,1,0,4a,Health services
397,Burst water pipe,1/15/10 3:53,"Cite Soleil, Haiti","Just outside Cite Soleil slum, desperate people crowded around a burst water pipe jostling to drink from the pipe or fill up buckets.",18.577918,-72.334843,1,0,1,Emergency
197,Cite Soleil - Situation,1/14/10 3:04,"Cite Soleil, Haiti","Cite Soleil church and Repatriate churches non-functional, church compounds (Cite Soleil and Blanchard) are being used as places of refuge, away from the danger of any houses and trees that could fall on the people. The soccer field in C/S as well as the one in Blanchard. Both being used as camping grounds for the people in the community.",18.578491,-72.335553,1,0,6,Persons News
194,"URGENT - College Canape Vert, PaP",1/14/10 2:53,Conape Vert,People still alive under College Canapé Vert are screaming for help to get them out of the rubbles.,18.539269,-72.336408,1,0,1,Emergency
304,Missing person:Dario Dorval et Une Femme nommée ynocia SAINT-FELIX,1/15/10 12:30,Croix Des Bossales,"Locate at Kwa Bossal near Les Salines and route de Delmas, may be trapped under their house",18.560018,-72.338276,0,0,1c,People trapped
67,Looking for Family,1/13/10 8:32,Croix-des-Bouquets,"I've been trying to reach by phone, but not such luck.  I'm looking for Madame Eman, my aunt Barbara and Beatrice, uncle Fritznel (Pierre-Louis), and half sister Patricia.  They live in Croix-des-Bouquets Rielle Savanne Bond #26.",18.581233,-72.230457,1,0,1c,People trapped
239,Missing Family,1/14/10 5:54,Croix-des-Bouquets,"barbara meyan, mary-joze Fenelon, Patricia Pierre-Louis, Fritznel, - Croix-des-Bouquets Ruelle Savanne Bond #26 Beatrice--Delma",18.581233,-72.230457,1,0,1c,People trapped
184,"Nadine Philips, Guadeloupe",1/14/10 3:25,croix-des-bouquets,"en Guadeloupe, Nadine Philips espère nouvelles de Gladys Bellevue et Johnny Joseph, de Croix-des-Bouquets et Despinos",18.570758,-72.328491,1,0,6b,Missing Persons
