body,views,replies,title,time,date,id
"Assalamu alaykum brother,
It's
sad that things like this happen in the mslim community. I hopr that
you get to marry her if it is the best for both of you. Ameen.
If
Allah wills this marriage will take place, there is nothing and no one
that can stop it happening, and if Allah wills it will not happen,
there would be nothing that will make it happen, even if the whole
world were to plead for you. So pray to Allah that he makes it happen.
Invoke
Allah a lot about it. As a scholar said, if you have a problem, invoke
Allah like a small child or baby. Cry if you have to and keep invoking
Allah till He yields results for you. Indeed Allah, he is ever
watchful, ever present, knows exactly what you are going through, loves
that you invoke him, He is ever generous, He is ever giving, forgiving
and merciful and will do what you believe He can do for you. So take
comfort with Allah.
Usually parents dont like marriages between
different ethnic groups for various reasons, i.e. they feel their tribe
is superior, they think the marrige will not work out and don't want
their children hurt in the process. So on a practical level, by careful
wisdom and planning, involve friends, relatives, family members, local
imams that could convince all parties that any marriage will work as
long as the partners are religious and have good character.
Dont
make the situation worse by keeping contact with the girl. You will
come to realise that keeping contact will not make the situation any
better.
This is the time and age when muslims from different
ethnic groups are coming together and marriges between them are
becoming more frequent. Understandably, parents who find it new are
reluctunt about it. But we the next generation insha Allah will grow,
we understand the situation better, and in the future insha Allah, this
will no more be a problem in the muslim ummah. It wasn't a problem
either among the earliset muslim generations. The 3 first muslim
generations were the best generation as the prophet (S) said.
Please
tell us how it goes. Its nice to know what happens to the person who
advice has been given to. It encourages the advisor to keep on helping
people knowing their effort isnt wasted.
Ma'assalam",424,11,Marraige Problems.,12:49:00,1/31/05,11
"Assalamu alaykum sister,
Just
wanted to add. It is natural that you feel resentment towards your
husband and his girlfriend for your miscarriage. You even want to kill
his former girlfriend. I think you have to understand the gravity of
your statement. Allah has decreed that killing one person is like
killing the whole humankind, including yourself, your family and all
those you love. killing is only permitted in jihad, retaliation by
shari'ah for murder, etc.
So let Allah deal with whoever
trangresses beyond bounds. He is the best who retributor and just
punisher, the best judge. I think you should repent and ask Allah for
forgiveness, for even thinking and intending to kill a person unjustly.
You should also understand that your miscarriage was decreed by
Allah the all wise, for reasons He knows best. Maybe so that you become
even closer to Him, and that he forgives you for your suffering, and
love you and reward you if you respond to the situation without doing
wrong, eventhough wrong had been done to you. 
Realise that no
matter what was done, seeing the best doctors, etc the miscarriage was
going to take place, and if Allah willed, no matter what the suffering,
the baby would have been born, even if you have no intercourse. Take
Maryam, mother of Isa (A), she did not even have intercourse but gave
birth to none other than a prophet just because Allah willed so. 
May Allah bring you peace and comfort. Ameen
Ma'assalam",693,19,Marital Problems,13:24:00,1/31/05,12
"Assalamu Alaykum sister,
This
is one of the worst stories i've heard. It's really a pity that such
trials and afflictions are taking place. May Allah protect us from
these kind of affliction and trials. Ameen
I am almost
speechless and don't really know what to say. Even though there are
good muslim brothers and sisters that can give you advise, perhaps you
need professional advise, i.e. you can get professional islamic
counselling at www.islamonline.net 
It's easy for us advising
you to say things like, pray hard, be strong, patient, talk to him,
tell people to talk to him, etc when i am pretty sure you have tried
out several ways of solving the problem. I think the best i can do for
you is pray. May Allah the all-mighty, all-able, all-powerful and
all-merciful solve this problem for, help you and guide you. Indeed
Allah is the best disposer of all affairs. Allah can help in ways that
one can never imagine.
So don't give up, or else you would have
already lost the battle when it is not yet over. Keep on trying in
creative ways how to solve the problem. 
Please tell us in IF how it goes and thank you for the sister who forwarded this. May Allah reward you.
Ma'assalam sister.",583,22,Can You Help This Sister?,19:56:00,1/31/05,13
"Assalamu alaykum sister,
You
know, it is easy for people to blame your brother for what he has done
and so on. But really the problem with Zinah of all sorts, minor or
major stem from a root. Think about it, we live in a society were
people see all sorts of nudity and rubbish on TV, on the streets, in
magazines, and where not? Then we expect people to act like saints! 
We
have to tackle the problem from the root. Your brother could be
watching bad TV programs that influence him to do such things, where
ideas that people should satisfy their sexual desires at all cost are
promoted, there are even talk shows that host family members that have
committed incense, like in one instance, i heard about sexual relations
between a father and a daughter, and then these people come out on TV
and say how they actually had fun. can you imagine! Your brother could
be hanging around with bad friends, etc. 
So try and find out
the root of the problem. Your brother did not develop a physical desire
for you overnight. Then try and tackle this problem with your family,
your parents. All avenues that lead him to do it such as TV, magazines,
bad friends should be restricted for him and substitutes found for him,
i.e. buy him islamic tapes to watch, find good friends for him, support
him and help him, explain to him the gravity of the act he commited.
And dont expect him to change overnight too, it should be gradual.
Insha Allah he will be guided by Allah to the straight path. Ameen.
Please tell us in IF how it goes.
Ma'assalam",882,22,what should I do,20:40:00,1/31/05,14
"Assalamu alaykum sister,
Sorry i didn't post this yesterday when you really wanted a reply. To busy with school and slow internet.
The
basic advice has already been given to you, which you've already
carried out, istikharah, alhamdulillah for istikharah prayers.
But
then i guess you still probably want more advice. Most times we people
would like advice, help and support eventhough we might know the
expected advice, or have heard it atleast.
So my advice to you, which i am pretty sure you've heard already is this.
The
prophet (S) said it is forbidden for a muslim brother to propose to a
muslim sister that another muslim brother has already proposed to,
unless he gets permission from the brother who proposed first to go
ahead. In your case, it seems like person A proposed first then person
B came in. I'm not sure whether person B got permission from person A
to propose to you. If he didn't, then i think proposal of person B is
invalid and you should not consider him unless person A allows him to
propose. You have to deal with person A first and alone, and try and
see if it could work out. If and only when it doesn't work out, then
you can consider another proposal, of course after agreeing with person
A that there is no prospect of marriage between both of you.
If
people follow the guidelines Islam lays out, then marriages will be
nice and smooth, with no grudges beteen muslims, and no parties envying
each other and making marriages competitions like winning girlfriends
in western societies.
Even if person A permits person B to
propose to you, i think for the sake of making things easy, nice and
simple, you could kindly tell person B you someone has proposed to you
and he could only propose to you when it doesn't work out with person
B. 
i am trying to condemn person B, he could even be a better
person to Allah than person A, Allah knows best but take it one at a
time.
Another reminder to you is the hadith of the prophet (S),
which he said a woman is married for 4 reasons. Her beauty, her wealth,
her character and her reputation. Then the prophet (S) went on to say,
marry the religious one.
To me this means that the first
criteria is to check the deen and character of the partner, for this is
the basis of all marriages. Consider all other things like beauty,
reputation, etc but do not give them to much importance and weigh them
heavily.
Some muslims make the mistake of looking for beauty
first, then the deen and character. The beauty then covers their eyes
so that they overlook the other more important things, an as we can see
today everywhere, the results of these kind of marriages. 
I trust you to be good in choosing the right husband due to your knowlegde and experience in IF.
Sister,
i hope i have been of great help and may Allah give you a pious husband
with other good things you would like from him. Ameen. May Allah guide
you in your quest and choice, and make it easy and succesful to you.
Ameen.
Please tell us how it goes and knock on our doors if there is something we don't get, or you still want more support and advice
Ma'assalam",4624,217,Hmm Marriage Proposals....confused,10:10:00,2/1/05,15
"Assalamu Alaykum
I really like what Ameerana put forward. And sister sunshinez! How would IF be without people like you. I wonder.
The
problem has to be solved and you can't go on living like that! Maybe
divorce might be the best solution if living with him will cause more
harm to your physical and mental health, and that of the children for
God sake, considering i'm pretty sure all devices to make this marriage
work have been tried. So if he is not willing to make it work after
several people have spoken to him, or he wants to change but keeps
going back to his ways for several reasons (as is usually common with
partners who mistreat their equal), hence harming the whole family
psychologically, making the family lose thier self-confidence, hopes,
making them become hard-liners and pessimistic, living in misery and so
on.
ma'assalam",583,22,Can You Help This Sister?,10:53:00,2/1/05,16
"Assalamu Alaykum brothers and sisters,
this is my feedback from your responses
Thank
you very much for the help and support i got. I really appreciate it.
Sometimes, a word of advice might seem nothing to the one who gives it,
but it means a lot for the one who gets it. 
I think from your
advice, thinking about the situation and reading around, i have
benefited a lot from the situation. Thank you brother D-Ziner and
Lateralus for inviting me to chat with them on MSN so that i don't feel
very lonely. I couln't add your names by clicking on it because i'm
just a junior member. Anyway my MSN address is umarm21[at]hotmail.com .
Insha Allah if you add me or i add you guys when i get your address,
and then have a chat with you guys.
'Sister in Islam' thank you
for the comments. You suggested that i shouldn't talk about right and
wrong all the time because it gets boring. I agree with you. But i
would just like you to know that i joke, i laugh, i talk, i socialise
with everybody around me without trying to get out of limits. But then
as i'm sure you know, there's more to life than laughs, jokes, fun and
so on. Sometimes one just wants to have more meaningful discussions
with good muslims, get support and encouragement,especially when one
stands out alone. 
Again i thank all of you for your help and
support. It felt so good to have muslims giving me advice, supporting
me. I really appreciate it. May Allah reward you for it. Ameen
Ma'assalam",988,27,I Think I Feel Lonely,19:43:00,2/1/05,17
"Assalamu Alaykum sister in Islam,
Sorry
i got mixed up with the info. I would probably never know enough to say
something very valuable, but from what i can see, you seem in control
but nervous. You have good islamic knowlegde to decide what to do but
you seem ... i dont know, maybe excited or nervous that your asking us
in IF what you should do. 
So dont worry, insha Allah you will be fine and have a good husband and marriage.
Ma'assalam.",4624,217,Hmm Marriage Proposals....confused,19:58:00,2/1/05,18
"Assalamu Alaykum
This
has been one of the most lively and entertaining discussion i've seen
in IF. Weldone guys for the good points; sunshinez, Mansoor, sister in
Islam, afghan hijabi...
For the guest who initiated the
discussion, may Allah give a good and pious wife, a happy long lasting
marriage and satisfaction. You seem on track to me and with the
contaacts your getting from scholars plus advice here in IF, insha
Allah everything will be fine. Ameen
Ma'assalam",743,21,How Important Is Mutual Attraction Before Marrying,20:39:00,2/3/05,19
"Assalamu alaykum,
Sister
in Islam, may your upcoming meeting and marriage be a success by the
grace of Allah. I hope you still remain an active member in IF though. 
D-Ziner, brother you just cheer us all up! 
Ma'assalam",4624,217,Hmm Marriage Proposals....confused,20:48:00,2/3/05,20
"Assalamu Alaykum,
Let me tell you a little about me.
My
name is Umar but you can call me Farouk. I just turned 18 (born in
1986, hence the 'Farouk1986'. I come from the Muslim Ummah and I
permanently live in Nigeria but often come to London. I am in a
boarding school with about 30 other muslims. I'm doing the IB (pre
university) diploma. Insha Allah i will finish this year and i plan to
head to Stanford University, California to study Engineering, or UC
Berkeley or Caltech. Imperial College London gave me an offer so if i
don't go to Cali, i plan to go to London. 
I sent a post in the
counselling forum to get some help. Alhamdulillah i got some good
responses from brothers and sisters. Anyway i get lonely sometimes
because i have never found a true muslim friend. I'm active, i
socialise with everybody around me, no conflicts, i laugh and joke but
not excessively. 
I will describe myself as very ambitious and
determined, especially in the deen. I strive to live my daily live
according to the quran and sunnah to the best of my ability. I do
almost everything, sports, TV, books... (of course trying not to cross
the limits in the deen). 
I might sound boring, but if you want to know more about me, just give me shout.
I have nothing more to say than, i look forward to meeting you.
Thanks for reading
And Ma'assalam",343,1,Can You Be My Friend?,11:47:00,2/5/05,21
"Assalamu Alaykum sister,
Sorry to hear of the situation your in. May Allah bring you out of it.
Ya,
i think u've already received good advice about how to make the best
out of the situation and time, how to go about future interviews and so
on. Insha Allah you will receive help from Allah from sources you
cannot even imagine. That's Allah, is Great.
Anyway have you
though about getting married? I believe your matured(cos u've
graduated). U know men get most of the jobs because they are financial
providers, its their responsibility while wmomen tend to get fewer
jobs. You have no responsibilty to financially take care of anyone,
even your own children. At the moment ur father is financially
responsible for you till you get married and your husband will take
over that responsibility. It's not haram though to look for jobs if
your a woman.
So you could have a think about it, i'm pretty sure you and your family are considering marriage or have talked about it.
May Allah give you what is best. Ameen
Ma'assalam",613,11,Im Just Very Upset...,8:44:00,2/7/05,22
"Assalamu alaykum sister in Islam,
Congratulations
on the succesful meeting between the 2 parties. May Allah facilitate
the marriage to take place, formalities and all sorts of procedures to
follow. Ameen.
Take care and glee with joy.
Ma'assalam.",4624,217,Hmm Marriage Proposals....confused,11:06:00,2/7/05,23
"Assalamu Alaykum,
When i first submitted this post, i made a comment which i feel i have to take back.
The
prophet (S) said young people should get married and if they can't get
married, they should fast. I said fasting hasn't helped me much.
Astagafirillah, now i have to take my word back.
To say the
truth, i never understood how fasting could be a substitute before one
gets married and i have to admit, i didn't actually believe fasting
could be a substitute. Even though i fast, like on mondays and
thursdays, i never did one based on the advice of the prophet (S).
But
then, Allah is great. Just yesterday, when i fasted, i believe i
realised the wisdom behind the prophet 's(S) saying. I felt a certain
devotion to Allah that made me focus on doing what i wanted to do. I
felt a shield that prevented evil thoughts coming into my head. I felt
closer to Allah. I think the lack of food is what promoted all this.
The need for food in the body is greater than the need on anything
else, including all other desires that Allah gave us. So without this
food, one is more likely to think only about Allah and food for the
whole day. 
I don't know how to explain better what i felt yesterday and what i realised. 
A
lesson i learned from this is, how much we believe in something will
determine how much it will help us. And because Allah is great,
sometimes we do not really believe in something because we do not
understand it, but out of his mercy, Allah sometimes helps us out. 
Ma'assalam",988,27,I Think I Feel Lonely,16:20:00,2/8/05,24
"<!--QuoteBegin-Batoota+Feb 8 2005, 04:31 PM--",988,27,I Think I Feel Lonely,16:47:00,2/8/05,25
"Assalamu alaykum sister in Islam,
I
have seen so many variety ways of spelling my name 'Farouk' but your
spelling of mine name seems very weird 'Farouke' :biggrin: . I wonder
where you got it from.
Have a Happy nervy time! May Allah be with you.
ma'assalam",4624,217,Hmm Marriage Proposals....confused,21:37:00,2/8/05,26
"<!--QuoteBegin-Farouk1986+Feb 8 2005, 09:37 PM--",4624,217,Hmm Marriage Proposals....confused,8:29:00,2/9/05,27
"Assalamu Alaykum,
IF
is great. i was wondering, where on earth have i been, not realising
there is such a place like IF. I believe i've never seen a creative<!--WORD2URL-01--",10208,131,"  <a href=""http://www.gawaher.com/index.php?showtopic=3892&amp;hl=""",9:16:00,2/9/05,28
"Assalamu Alaykum,
Alhamdulillah people have been generally welcome by IF members. 
Nevertheless
IF seems to be some kind of big boy / big girlforum. Where are the
young, enthusiastic, exciting guys? Hello, hello? I can't see you!!! <img src=""all%20posts%20by%20FAROUK1986%20-%20page11_files/blush.gif"" style=""vertical-align: middle;"" border=""0"" alt=""blush.gif"" emoid="":blush:"" /",833,25,Where Are Are The Young Guys?,9:29:00,2/9/05,29
"Assalamu Alaykum
I don't really know the bad side of putting Ads <img src=""all%20posts%20by%20FAROUK1986%20-%20page10_files/blink.gif"" style=""vertical-align: middle;"" border=""0"" alt=""blink.gif"" emoid="":blink:"" /",1052,18,Thoughts On Ads,11:02:00,2/9/05,30
"Assalamu Alaykum,
Thanks sis Arwa for the wonderful fatwa. And thanks too for passing round a glass of juice to all new bies!!! 
Ma'assalam",849,6,Imitating Disbelievers,12:39:00,2/9/05,31
"Assalamu Alaykum,
Took ages to load this reply page.
You
know as this website has experienced against enemies of Islam, i won't
be surprised if they are the ones playing funny games, slowing it down
shutting it down. Ya, common hackers are capable of doing that i think.
<img src=""all%20posts%20by%20FAROUK1986%20-%20page10_files/mad.gif"" style=""vertical-align: middle;"" border=""0"" alt=""mad.gif"" emoid="":mad:"" /",514,20,Server Problems?,12:51:00,2/9/05,32
"Assalamu Alaykum,
Thanks
sis for the reply. You respnded to my question. Perhaps when i become a
member everything will be alright :biggrin: and i will discuss my ideas
better.
You seem to be on the attacking side answering in a
defencive kind of way, when i was just trying to be friendly, i didn't
mean offence. I just made a suggestion. 
No worries though, i
bet you must be in a hurry as some sought of senior member, going round
trying to satisfy us all. Good work your doing. May Allah reward you
and help you in it.
Thanks again and ma'assalam. :biggrin:",833,25,Where Are Are The Young Guys?,14:42:00,2/9/05,33
"Salams,
alhamdulillah, you found it funny, You better keep finding everyone funny, or else i IF will be full of guys going <img src=""all%20posts%20by%20FAROUK1986%20-%20page10_files/blush.gif"" style=""vertical-align: middle;"" border=""0"" alt=""blush.gif"" emoid="":blush:"" /",833,25,Where Are Are The Young Guys?,16:24:00,2/9/05,34
"Salam
Alright, alright, you got me. So watch out :laugh:",849,6,Imitating Disbelievers,16:25:00,2/9/05,35
"Oops!!! :ohmy: 
Salams sister,
You
know something funny that just took place? when i just sent my last
post here, i just scrolled down only to see Dot's name on the same page
:ohmy: 
So Dot probably read my last post and will likely read
this one. So hello Dot. :biggrin: I'm a newbie, and will soon be a full
member :smile: So please give me a welcome hand and i hope to meet you
soon. Great job. I prefer to caqll you Doc if you don't mind <img src=""all%20posts%20by%20FAROUK1986%20-%20page10_files/cry.gif"" style=""vertical-align: middle;"" border=""0"" alt=""cry.gif"" emoid="":cry:"" /",833,25,Where Are Are The Young Guys?,16:36:00,2/9/05,36
"Assalamu Alaykum,
We
really can't directly do much. It's depressing. May Allah bring you out
of this, you and your innocent children .Hasbunallahu wani'imal wakeel
(Allah is the best disposer of all affairs)
Try your best to
seek out alternative solutions to the problem.. Talking to him hasn't
worked out, so solutions such as considering financial support
elsewhere if your independent. You have been strong through all this
and it must be really hard without support of a friend or family. 
I
think your husband needs to see a counsellor or psychiatrist. If he
doesn't want to or it doesn't yield results, then be strong and leave
your husband. But be dependant on somehow who is no good to you.
Did you get professional counsellind advice online? If no, do so i.e. on www.islamonline.net or anywhere you know.
I feel bad about the situation your in. Why are people treating people like that? May Allah protect us from all evil. Ameen
Ma'assalam",583,22,Can You Help This Sister?,9:18:00,2/10/05,37
"Assalamu Alaykum,
Thanks jihaad and slave <img src=""all%20posts%20by%20FAROUK1986%20-%20page10_files/cry.gif"" style=""vertical-align: middle;"" border=""0"" alt=""cry.gif"" emoid="":cry:"" /",833,25,Where Are Are The Young Guys?,9:26:00,2/10/05,38
"<!--QuoteBegin-crystal_sword+Feb 8 2005, 07:49 PM--",988,27,I Think I Feel Lonely,11:03:00,2/10/05,39
"Assalamu Alaykum brother,
May Allah help you out of this. 
You received excellent advice from our sister, and if you can apply it to your best, that will be great!
I
want to help you but i prefer to do it online i.e. MSN if you have an
account. My account is umarm21[at]hotmail.com , add me and insha Allah
we will talk about it in great detail. 
If you dont have an account, email me or post it up here. 
Insha Allah you will be alright, just knock me door :biggrin: So don't worry. Stay cool :cool: 
Ma'assalam",595,10,Is It Wrong To Think Like This?,17:59:00,2/10/05,40
"Salam sister in Islam :biggrin: 
Stay cool like  :cool: 
Insha Allah it will go as smooth as you wish.
Ma'assalam :biggrin:",4624,217,Hmm Marriage Proposals....confused,18:02:00,2/10/05,41
"Assalamu Alaykum brother,
Oh,
i'm sorry for responding late. I had no indication when you replied.
You can email me if you want quick response for anything, not only
about concentration in Salah.
Alhamdulillah, i must say if the
last thing you siad in your post is the state of your salah then your
doing well. Most muslims dont speak or understand arabic. Even i, i
only slightly understand it and i will learn it insha Allah.
So
accept that your human and you cant have a 100% concentration in Salah.
Read the short surahs you understand most of the time and leave the
longer surahs for reading with a quran at other times.
When you lose concentration. quickly say a'uzubillahi minash-shaytanir-rajeem. Trust me your not taht bad in concentration.
Hope to hear from you again,
Ma'assalam",720,21,Cant concentrate in Salat,19:27:00,2/10/05,42
